canonical_smiles,molecule_chembl_id
CCCCNC(=O)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)C1CN(CCOCCc2ccccc2)CCN1C(=O)CCc1cc(OC)c(OC)c(OC)c1,CHEMBL431861
CCCCNC(=O)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)C1CN(C(=O)CCCCC(=O)OCC)CCN1C(=O)CCc1cc(OC)c(OC)c(OC)c1,CHEMBL324234
CCCCNC(=O)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)CC1CN(Cc2cc(OC)c(OC)c(OC)c2)CCN1C(=O)c1ccc(OC(C)C)cc1,CHEMBL107770
CCCCNC(=O)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)c1ccc2cc(C(=O)N[C@H](CC(C)C)C(=O)N[C@H](CCCCN)C(=O)NCCCC(C)Nc3cc(OC)cc4cccnc34)ccc2c1)[C@H](C)CC,CHEMBL1790773
CCCCNC(=O)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)CCC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCN)C(=O)NCCCC(C)Nc1cc(OC)cc2cccnc12)[C@H](C)CC,CHEMBL1790775
CCCCNC(=O)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)c1ccc(Oc2ccc(C(=O)N[C@@H](CC(C)C)C(=O)O)cc2)cc1)C(C)CC,CHEMBL98043
COc1cc(NC(C)CCCNC(=O)[C@@H](N)CCCCN)c2ncccc2c1,CHEMBL102007
CCCCNC(=O)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)c1ccc(Oc2ccc(C(=O)N[C@H](CC(C)C)C(=O)N[C@H](CCCCN)C(=O)NCCCC(C)Nc3cc(OC)cc4cccnc34)cc2)cc1)[C@H](C)CC,CHEMBL1790774
CCCCNC(=O)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)Cc1ccc(CC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCN)C(=O)NCCCC(C)Nc2cc(OC)cc3cccnc23)cc1)[C@H](C)CC,CHEMBL1790776
CCCCNC(=O)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)c1ccc2cc(C(=O)OCCCC(=O)N[C@H](CC(C)C)C(=O)N[C@H](CCCCN)C(=O)NCCCC(C)Nc3cc(OC)cc4cccnc34)ccc2c1)[C@H](C)CC,CHEMBL1790772
